Gene,log2FoldChange,padj
Gm10046,5.809376959,0.003267801
Nkiras1,-6.743437108,0.013187816
Fst,-5.073668046,0.034001274
H2afj,-7.224878925,0.000197947
Cnot3,5.483299611,0.025089485
Cnot4,-5.848337565,0.034562841
Gm30023,-5.612156076,0.021525636
Gm15533,-25.07736112,4.85E-07
Gm7091,-21.82493878,3.22E-08
Gm21748,-25.58621348,2.65E-07
Adprm,21.35049994,1.58E-07
Gm44194,-5.16763144,0.033240063
Rtl8a,5.919658894,0.023650283
Vmn1r181,-5.845563455,0.020274101
Gm8682,-24.93849257,3.41E-07
AC137853.1,-9.566392893,6.99E-06
Zbtb21,-5.365321453,0.02242536
Hadh,4.771467446,0.047109346
Nat1,-5.063529474,0.038926054
Dnmt1,-21.68906392,1.87E-13
Ghitm,5.772176788,0.037230012
Ednra,-5.6614087,0.047205325
Wsb2,6.569249858,0.004374414
H3f3a-ps1,-22.5720136,4.92E-07
Gm9005,-9.901112662,0.005574344
Gm23205,6.271842151,0.000224927
Cmtm7,-5.225962492,0.027371082
Gm38312,5.773102786,0.019581432
Gm7043,-4.77236869,0.026515151
Gm7181,8.444811442,7.50E-06
Mab21l1,-5.868074652,0.00046515
Dusp7,7.496475255,0.00208769
Dusp2,4.246259704,0.04206551
Gm47325,-4.961150426,0.037850724
Gm43311,4.96303997,0.013002916
Ccar1,-25.27147334,3.95E-07
Sppl3,25.38942518,1.59E-07
Yipf6,-24.30233442,5.46E-17
4632418H02Rik,-5.811597335,0.038926054
Gm38056,-5.492373656,0.030087247
Gm43726,7.885442523,0.000158619
Rai2,-25.79323204,2.03E-07
A030005L19Rik,-5.632646169,0.019492276
Gm21781,-5.511786434,0.024675189
Gm7670,-5.454142975,0.042656507
Zap70,7.694624166,6.13E-05
Zadh2,-5.434236321,0.007849343
Gm6027,-11.30106538,0.000280992
Cope,-6.587919943,0.002389364
Gm4157,-5.171518494,0.010859279
Abi2,-5.196049945,0.04431003
Tmem50b,-6.616913822,0.002640003
Ripk1,7.562165724,0.000202237
Psmd8,-5.964298414,0.00351096
Nat8f1,-21.30529952,8.33E-06
Rn7s1,-24.39380343,1.00E-15
BC022960,-17.91133357,1.17E-06
Gm14822,-25.5142488,6.75E-08
Psmb11,-4.899643941,0.028225449
Polr1e,-5.435433196,0.034208322
2810004N23Rik,-34.57889305,1.84E-14
Uri1,-5.655369524,0.002050701
Gnpat,-22.25738324,1.22E-06
Gm6275,-23.81125322,2.43E-08
Gm6274,-6.472410568,0.007511713
Prps2,-21.10109278,1.93E-05
Parp1,-5.321899199,0.025089485
Tsc22d3,-8.739399709,0.034990485
Gm44616,-17.57317988,6.37E-06
Gm47571,7.011127998,0.001435038
Gm6335,-22.29934813,2.43E-08
Gm14775,-10.35320054,0.001282603
Gne,-7.25291299,0.00098784
Coq8b,-5.954683264,0.020274101
Slc39a9,22.51394484,8.02E-06
Gm7816,-6.860922637,0.002348047
Gm38244,5.583464075,0.013281568
Tssk1,-5.939906643,0.015585502
Rnf6,5.195445255,0.045090063
Rnf7,-9.48324651,8.09E-08
Mylip,-7.270085011,0.005277879
Utp3,6.056087989,0.019738173
3830408C21Rik,5.306050062,0.015691421
Gbp9,33.18790946,3.23E-12
Gbp5,22.80162847,5.77E-06
Gm3712,-9.780571543,0.003976771
Myh10,-23.79331856,2.28E-06
Gm5863,-21.67618557,2.42E-07
Gm5039,-6.279655124,0.018959051
Mir223,-23.80385614,2.10E-14
Bex3,-25.00571369,7.51E-10
Bex1,-25.50907186,1.47E-10
Rps12-ps23,-23.53044578,1.42E-08
Gm16139,-8.730677908,0.000107157
Hnrnpc,-6.445068812,0.002579232
Ilf2,-22.12940965,1.61E-05
Olfr239,-5.057360118,0.02242536
Gm7967,-5.217004351,0.027261304
Gm13126,-5.406440672,0.015955009
Mto1,32.22749759,1.50E-11
Mif4gd,-5.69284602,0.003664851
Rb1cc1,5.941486106,0.026049067
Gm8545,-9.878987864,0.002484232
Tpm3-rs7,-5.630813765,0.014304825
Actg1,-6.010930019,0.047109346
