Gene,cluster,padj
Ddb2,2,0.006380846
Trim28,2,0.001344896
Spata5l1,2,0.043240485
Gm14056,2,0.031709675
Pikfyve,2,0.008184428
Parp16,2,0.049724591
Samhd1,2,0.029795581
Gm5190,2,0.006868684
AC127249.1,2,0.022616205
Gm5847,2,0.043182507
Glb1l2,2,0.004342633
Gm12955,2,0.017920953
Mettl22,2,0.016522256
Hscb,2,1.78E-05
Gm20784,2,0.009591679
Gm43216,2,0.012567329
Amacr,2,0.004994207
Gm45221,2,0.019994366
Sobp,2,0.021968842
X4930447C11Rik,2,0.04213778
AU040320,2,0.003968707
Setdb1,2,0.037611982
Rpl34.ps2,2,0.04879975
Nhej1,2,0.02501364
Gm12251,2,0.020893821
Med28,2,0.012346807
Exoc6,2,0.017311224
Gm4609,2,0.024694393
X0610025J13Rik,2,0.02527939
Mdh1,2,0.042568991
Tbc1d14,2,0.001307277
AC109152.1,2,0.012335945
Stox2,2,0.032574363
Nle1,2,0.019754365
Sep-11,2,0.040890109
Hpgd,2,0.013299862
Gm7854,2,0.006868684
Gm11452,2,0.037806883
Atp5g2,2,0.041026107
Skap2,2,0.01070379
AC152396.2,2,0.006380846
Gm48742,2,0.036595215
Gm9727,2,0.002109973
Cs,2,0.031186011
X4930426L09Rik,2,1.27E-05
Kansl3,2,0.003214452
Gm10241,2,0.025711049
Stxbp3,2,0.004296155
Gm45244,2,0.032945027
Gm44773,2,0.000507024
Gm9396,2,0.023125215
Gm9333,2,0.028256143
Gm3671,2,0.027498699
Hey2,2,0.025858038
Ndufaf1,2,0.006942505
Gm5982,2,0.022998941
Rps16,2,0.027129546
Gm19963,2,0.030790094
Rpl12,2,0.028060966
B230216N24Rik,2,0.018740207
Ppm1l,2,0.039101205
Rps13.ps2,2,0.022617327
Gm8121,2,0.02918025
Trim68,2,0.04700752
Trim63,2,0.013464859
Gm5264,2,0.003828749
Gm44434,2,0.045680115
Gm8948,2,0.044481516
Gm7936,2,0.037752443
Tm2d2,2,0.038796696
Gm25117,2,0.032854055
Gm22904,2,0.029022759
Gm12203,2,0.030883843
Zbtb5,2,0.000487093
Esyt1,2,0.009750349
Mir1954,2,0.007393573
AC139296.1,2,0.032037626
Zbed4.ps2,2,0.038846228
Gm49013,2,0.032684458
A030012G06Rik,2,0.005387831
Gm17831,2,0.008347158
Traf6,2,0.000795163
Zfp747,2,0.039771755
Gm15497,2,1.27E-05
Gm4118,2,0.025704539
Exosc10,2,0.027502632
A930028O11Rik,2,0.004312486
Aftph,2,0.02787584
Supt3,2,0.026713158
Mmrn2,2,0.007559873
X4931414P19Rik,2,0.013464859
Cecr2,2,0.028119875
Mir1943,2,0.009759561
Fig4,2,0.019469635
Rmc1,2,0.009415819
Gm49066,2,0.020029204
Gm35876,2,2.17E-05
Gm11814,2,0.02799972
B3galt4,2,0.045462112
Gm44646,2,0.019548519
Tnni1,2,8.77E-06
Gm10193,2,0.017214036
Gpx4.ps2,2,0.026585758
Mlxip,2,0.015116044
Gm14585,2,0.001714805
Gm19552,2,0.04700752
Gm7895,2,0.001626026
Yeats4,2,0.034787915
Ulk1,2,0.007927618
Ifitm6,2,0.008197189
Rpl7a.ps3,2,0.006380846
Gm44237,2,0.000346334
Gm43637,2,0.003638699
Slc35e3,2,2.14E-06
Sart1,2,0.004649263
Spen,2,0.014656765
